what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1743695093257
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1743695094080
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695101713
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695105525
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695177038
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695185232
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695192764
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743695196715
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695205103
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743695208092
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695212188
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695213806
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695291160
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695294499
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695304466
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695352200
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695353799
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695354362
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695375761
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743695376831
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695377880
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695415569
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743695417880
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695421111
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1743695426782
